"lon","lat","TEM"
-87.25,38.75,6.8
-86.75,38.75,6.6
-86.25,38.75,6.4
-85.75,38.75,6.3
-85.25,38.75,6.2
-84.75,38.75,6.2
-84.25,38.75,6.2
-83.75,38.75,6
-83.25,38.75,6.1
-82.75,38.75,6.2
-82.25,38.75,6.4
-81.75,38.75,6.3
-81.25,38.75,6.1
-80.75,38.75,5.3
-80.25,38.75,4.1
-79.75,38.75,3.3
-79.25,38.75,3.6
-78.75,38.75,4.5
-78.25,38.75,5.5
-77.75,38.75,5.9
-77.25,38.75,6.2
-76.75,38.75,6.3
-76.25,38.75,6.3
-75.75,38.75,6.2
-75.25,38.75,6
-74.75,38.75,5.9
-74.25,38.75,6.3
-73.75,38.75,7
-73.25,38.75,7.8
-91.25,39.25,6.5
-90.75,39.25,6.6
-90.25,39.25,6.6
-89.75,39.25,6.4
-89.25,39.25,6.3
-88.75,39.25,6.2
-88.25,39.25,6.2
-87.75,39.25,6.2
-87.25,39.25,6.1
-86.75,39.25,6
-86.25,39.25,5.8
-85.75,39.25,5.6
-85.25,39.25,5.6
-84.75,39.25,5.6
-84.25,39.25,5.6
-83.75,39.25,5.3
-83.25,39.25,5.4
-82.75,39.25,5.5
-82.25,39.25,5.7
-81.75,39.25,5.6
-81.25,39.25,5.5
-80.75,39.25,5.2
-80.25,39.25,4.5
-79.75,39.25,3.6
-79.25,39.25,3.3
-78.75,39.25,4.1
-78.25,39.25,4.8
-77.75,39.25,5.1
-77.25,39.25,5.2
-76.75,39.25,5.3
-76.25,39.25,5.5
-75.75,39.25,5.5
-75.25,39.25,5.4
-74.75,39.25,5.4
-74.25,39.25,5.4
-73.75,39.25,6
-73.25,39.25,6.6
-91.25,39.75,6
-90.75,39.75,6.1
-90.25,39.75,6
-89.75,39.75,5.9
-89.25,39.75,5.8
-88.75,39.75,5.6
-88.25,39.75,5.6
-87.75,39.75,5.6
-87.25,39.75,5.5
-86.75,39.75,5.3
-86.25,39.75,5.2
-85.75,39.75,4.9
-85.25,39.75,4.8
-84.75,39.75,4.8
-84.25,39.75,4.8
-83.75,39.75,4.7
-83.25,39.75,4.8
-82.75,39.75,4.8
-82.25,39.75,4.8
-81.75,39.75,4.8
-81.25,39.75,4.7
-80.75,39.75,4.6
-80.25,39.75,4.2
-79.75,39.75,3.6
-79.25,39.75,3
-78.75,39.75,3.3
-78.25,39.75,4
-77.75,39.75,4.2
-77.25,39.75,4.3
-76.75,39.75,4.5
-76.25,39.75,4.6
-75.75,39.75,4.7
-75.25,39.75,4.8
-74.75,39.75,4.8
-74.25,39.75,4.9
-73.75,39.75,5.2
-73.25,39.75,5.7
-91.25,40.25,5.5
-90.75,40.25,5.4
-90.25,40.25,5.4
-89.75,40.25,5.3
-89.25,40.25,5.2
-88.75,40.25,5
-88.25,40.25,5
-87.75,40.25,5
-87.25,40.25,4.9
-86.75,40.25,4.8
-86.25,40.25,4.6
-85.75,40.25,4.4
-85.25,40.25,4.3
-84.75,40.25,4.2
-84.25,40.25,4.2
-83.75,40.25,4.1
-83.25,40.25,4.1
-82.75,40.25,4
-82.25,40.25,4
-81.75,40.25,3.9
-81.25,40.25,3.8
-80.75,40.25,3.8
-80.25,40.25,3.8
-79.75,40.25,3.4
-79.25,40.25,2.8
-78.75,40.25,2.4
-78.25,40.25,3
-77.75,40.25,3.3
-77.25,40.25,3.6
-76.75,40.25,3.7
-76.25,40.25,3.6
-75.75,40.25,3.7
-75.25,40.25,3.9
-74.75,40.25,4.1
-74.25,40.25,4.3
-73.75,40.25,4.5
-73.25,40.25,4.7
-91.25,40.75,4.9
-90.75,40.75,4.8
-90.25,40.75,4.7
-89.75,40.75,4.7
-89.25,40.75,4.6
-88.75,40.75,4.5
-88.25,40.75,4.6
-87.75,40.75,4.5
-87.25,40.75,4.4
-86.75,40.75,4.3
-86.25,40.75,4.2
-85.75,40.75,4
-85.25,40.75,3.9
-84.75,40.75,3.9
-84.25,40.75,3.8
-83.75,40.75,3.7
-83.25,40.75,3.6
-82.75,40.75,3.3
-82.25,40.75,3.2
-81.75,40.75,3.2
-81.25,40.75,3
-80.75,40.75,3.1
-80.25,40.75,3
-79.75,40.75,2.8
-79.25,40.75,2.4
-78.75,40.75,1.8
-78.25,40.75,2.1
-77.75,40.75,2.4
-77.25,40.75,2.7
-76.75,40.75,2.8
-76.25,40.75,2.5
-75.75,40.75,2.4
-75.25,40.75,2.6
-74.75,40.75,3
-74.25,40.75,3.3
-73.75,40.75,3.6
-73.25,40.75,3.7
-91.25,41.25,4.2
-90.75,41.25,4.2
-90.25,41.25,4.1
-89.75,41.25,4.1
-89.25,41.25,4.1
-88.75,41.25,4
-88.25,41.25,4
-87.75,41.25,3.9
-87.25,41.25,3.8
-86.75,41.25,3.7
-86.25,41.25,3.6
-85.75,41.25,3.4
-85.25,41.25,3.3
-84.75,41.25,3.3
-84.25,41.25,3.4
-83.75,41.25,3.4
-83.25,41.25,3.1
-82.75,41.25,2.7
-82.25,41.25,2.4
-81.75,41.25,2.2
-81.25,41.25,2.2
-80.75,41.25,2.3
-80.25,41.25,2.1
-79.75,41.25,1.8
-79.25,41.25,1.5
-78.75,41.25,1.1
-78.25,41.25,1
-77.75,41.25,1.2
-77.25,41.25,1.4
-76.75,41.25,1.4
-76.25,41.25,1.3
-75.75,41.25,1
-75.25,41.25,1.2
-74.75,41.25,1.6
-74.25,41.25,2
-73.75,41.25,2.5
-73.25,41.25,2.7
-91.25,41.75,3.5
-90.75,41.75,3.5
-90.25,41.75,3.5
-89.75,41.75,3.5
-89.25,41.75,3.4
-88.75,41.75,3.3
-88.25,41.75,3.3
-87.75,41.75,3
-87.25,41.75,2.7
-86.75,41.75,2.7
-86.25,41.75,2.8
-85.75,41.75,2.8
-85.25,41.75,2.6
-84.75,41.75,2.5
-84.25,41.75,2.5
-83.75,41.75,2.6
-83.25,41.75,2.4
-82.75,41.75,2
-82.25,41.75,1.6
-81.75,41.75,0
-81.25,41.75,0
-80.75,41.75,0
